ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/01/13,TX,202601  ,31067,31252,30626,30874,174,0.57%,76999,30870,72530,30873,30874,31252,26277,,,,
2026/01/13,TX,202601  ,30730,31107,30652,31071,371,1.21%,46616,-,-,31070,31080,31107,26277,,絃,,
2026/01/13,TX,202602  ,31168,31364,30753,30993,173,0.56%,2194,30990,4979,30992,30997,31364,26305,,,,
2026/01/13,TX,202602  ,30852,31215,30779,31190,370,1.20%,1221,-,-,31178,31193,31215,26305,,絃,,
2026/01/13,TX,202603  ,31228,31408,30805,31036,161,0.52%,194,31036,1064,31041,31047,31408,17068,,,,
2026/01/13,TX,202603  ,30917,31254,30833,31242,367,1.19%,81,-,-,31232,31249,31254,17068,,絃,,
2026/01/13,TX,202606  ,31480,31561,30980,31089,62,0.20%,40,31212,431,31209,31215,31561,20819,,,,
2026/01/13,TX,202606  ,31067,31397,31019,31397,370,1.19%,14,-,-,31386,31410,31397,20819,,絃,,
2026/01/13,TX,202609  ,31296,31296,30908,30908,88,0.29%,11,31005,204,31000,31011,31296,24962,,,,
2026/01/13,TX,202609  ,30921,31195,30848,31189,369,1.20%,15,-,-,31182,31206,31195,24962,,絃,,
2026/01/13,TX,202612  ,31323,31323,30903,30903,-11,-0.04%,5,31119,44,31091,31148,31323,27382,,,,
2026/01/13,TX,202612  ,30941,31295,30941,31295,381,1.23%,6,-,-,31261,31314,31295,27382,,絃,,
2026/01/13,TX,202601/202602    ,112,122,110,121,-,-,110,-,-,119,123,129,25,,,1336,
2026/01/13,TX,202601/202602    ,-,-,-,-,-,-,0,-,-,108,113,129,25,,絃,740,
2026/01/13,TX,202601/202603    ,171,171,169,169,-,-,14,-,-,168,173,189,80,,,161,
2026/01/13,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,162,169,189,80,,絃,75,
2026/01/13,TX,202601/202606    ,324,341,321,337,-,-,14,-,-,336,341,341,59,,,26,
2026/01/13,TX,202601/202606    ,330,330,330,330,-,-,4,-,-,316,330,330,59,,絃,10,
2026/01/13,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,127,137,125,-89,,,11,
2026/01/13,TX,202601/202609    ,125,125,125,125,-,-,4,-,-,112,126,125,-89,,絃,11,
2026/01/13,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,218,274,90,-68,,,2,
2026/01/13,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,191,234,90,-68,,絃,4,
2026/01/13,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,81,-,-,-,,,1,
2026/01/13,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,83,-,-,-,,絃,2,
