ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/01/12,TX,202601  ,30717,30763,30555,30701,248,0.81%,57701,30700,71308,30701,30704,30840,26277,,,,
2026/01/12,TX,202601  ,30469,30840,30417,30826,373,1.22%,45074,-,-,30820,30828,30840,26277,,絃,,
2026/01/12,TX,202602  ,30838,30878,30678,30821,260,0.85%,1666,30820,4649,30821,30825,30942,26305,,,,
2026/01/12,TX,202602  ,30591,30942,30537,30920,359,1.17%,872,-,-,30922,30935,30942,26305,,絃,,
2026/01/12,TX,202603  ,30887,30915,30740,30875,250,0.82%,103,30875,948,30873,30878,31002,17068,,,,
2026/01/12,TX,202603  ,30694,31002,30694,30986,361,1.18%,63,-,-,30985,30998,31002,17068,,絃,,
2026/01/12,TX,202606  ,30982,30982,30880,30960,212,0.69%,6,31027,425,31023,31032,31067,20819,,,,
2026/01/12,TX,202606  ,30729,31067,30729,31067,319,1.04%,13,-,-,31117,31140,31067,20819,,絃,,
2026/01/12,TX,202609  ,30831,30831,30750,30750,205,0.67%,4,30820,200,30813,30828,30910,24962,,,,
2026/01/12,TX,202609  ,30713,30910,30710,30910,365,1.19%,12,-,-,30902,30927,30910,24962,,絃,,
2026/01/12,TX,202612  ,30934,30934,30914,30914,278,0.91%,2,30914,42,30899,30931,30937,27382,,,,
2026/01/12,TX,202612  ,30889,30937,30889,30937,301,0.98%,2,-,-,30995,31035,30937,27382,,絃,,
2026/01/12,TX,202601/202602    ,116,121,115,121,-,-,140,-,-,120,124,129,25,,,1109,
2026/01/12,TX,202601/202602    ,116,116,113,113,-,-,10,-,-,102,107,129,25,,絃,558,
2026/01/12,TX,202601/202603    ,167,175,166,172,-,-,9,-,-,172,174,189,80,,,86,
2026/01/12,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,165,170,189,80,,絃,54,
2026/01/12,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,322,328,230,59,,,6,
2026/01/12,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,297,312,230,59,,絃,11,
2026/01/12,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,112,124,-29,-89,,,2,
2026/01/12,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,82,99,-29,-89,,絃,12,
2026/01/12,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,198,227,90,-68,,,2,
2026/01/12,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,175,207,90,-68,,絃,2,
2026/01/12,TX,202602/202603    ,45,45,45,45,-,-,4,-,-,46,69,45,45,,,31,
2026/01/12,TX,202606/202609    ,-,-,-,-,-,-,0,-,-,-242,-202,-210,-252,,,1,
