ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/01/06,TX,202601  ,30271,30672,30183,30617,308,1.02%,59699,30627,75467,30611,30615,30672,26277,,,,
2026/01/06,TX,202601  ,30358,30418,30209,30290,-19,-0.06%,37930,-,-,30289,30293,30487,26277,,絃,,
2026/01/06,TX,202602  ,30393,30780,30289,30730,329,1.08%,1264,30741,3573,30719,30727,30780,26305,,,,
2026/01/06,TX,202602  ,30444,30514,30311,30372,-29,-0.10%,545,-,-,30389,30397,30572,26305,,絃,,
2026/01/06,TX,202603  ,30418,30816,30348,30804,384,1.26%,125,30759,728,30755,30764,30816,17068,,,,
2026/01/06,TX,202603  ,30429,30531,30350,30403,-17,-0.06%,50,-,-,30419,30430,30568,17068,,絃,,
2026/01/06,TX,202606  ,30452,30896,30452,30887,378,1.24%,34,30843,405,30839,30848,30896,20819,,,,
2026/01/06,TX,202606  ,30510,30610,30434,30487,-22,-0.07%,25,-,-,30493,30505,30653,20819,,絃,,
2026/01/06,TX,202609  ,30229,30631,30229,30631,336,1.11%,28,30639,184,30632,30647,30631,24962,,,,
2026/01/06,TX,202609  ,30271,30338,30236,30338,43,0.14%,4,-,-,30281,30298,30450,24962,,絃,,
2026/01/06,TX,202612  ,30320,30712,30320,30639,294,0.97%,14,30717,34,30700,30735,30712,27382,,,,
2026/01/06,TX,202612  ,30345,30400,30300,30400,55,0.18%,8,-,-,30343,30376,30426,27382,,絃,,
2026/01/07,TX,202601  ,30609,30676,30448,30516,-111,-0.36%,57861,30516,74241,30517,30522,30676,26277,,,,
2026/01/07,TX,202601  ,30628,30665,30455,30603,-24,-0.08%,38491,-,-,30602,30612,30672,26277,,絃,,
2026/01/07,TX,202602  ,30745,30795,30576,30640,-101,-0.33%,902,30630,3758,30635,30643,30795,26305,,,,
2026/01/07,TX,202602  ,30744,30784,30585,30719,-22,-0.07%,664,-,-,30727,30740,30784,26305,,絃,,
2026/01/07,TX,202603  ,30788,30826,30626,30704,-55,-0.18%,32,30697,740,30693,30701,30827,17068,,,,
2026/01/07,TX,202603  ,30781,30827,30631,30723,-36,-0.12%,76,-,-,30768,30787,30827,17068,,絃,,
2026/01/07,TX,202606  ,30872,30892,30813,30822,-21,-0.07%,17,30800,413,30796,30805,30896,20819,,,,
2026/01/07,TX,202606  ,30844,30896,30773,30896,53,0.17%,22,-,-,30857,30877,30896,20819,,絃,,
2026/01/07,TX,202609  ,30648,30698,30558,30650,11,0.04%,8,30600,189,30593,30607,30698,24962,,,,
2026/01/07,TX,202609  ,30613,30639,30519,30614,-25,-0.08%,16,-,-,30648,30681,30639,24962,,絃,,
2026/01/07,TX,202612  ,-,-,-,-,-,-,0,30686,36,30667,30705,30712,27382,,,,
2026/01/07,TX,202612  ,30676,30676,30676,30676,-41,-0.13%,2,-,-,30724,30758,30712,27382,,絃,,
2026/01/06,TX,202601/202602    ,105,110,104,108,-,-,174,-,-,108,112,110,25,,,744,
2026/01/06,TX,202601/202602    ,-,-,-,-,-,-,0,-,-,100,104,94,25,,絃,327,
2026/01/06,TX,202601/202603    ,141,147,141,147,-,-,8,-,-,144,149,147,80,,,104,
2026/01/06,TX,202601/202603    ,122,122,122,122,-,-,2,-,-,130,137,122,80,,絃,44,
2026/01/06,TX,202601/202606    ,213,230,213,230,-,-,4,-,-,228,233,230,59,,,29,
2026/01/06,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,204,212,198,59,,絃,22,
