ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/01/06,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,21,32,-29,-89,,,21,
2026/01/06,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,-8,5,-29,-89,,絃,3,
2026/01/06,TX,202601/202612    ,90,90,90,90,-,-,1,-,-,89,120,90,-68,,,13,
2026/01/06,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,54,83,15,-68,,絃,5,
2026/01/06,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,34,39,-,-,,,1,
2026/01/06,TX,202603/202606    ,-,-,-,-,-,-,0,-,-,-,-,-13,-117,,絃,1,
2026/01/06,TX,202606/202609    ,-,-,-,-,-,-,0,-,-,-236,-202,-210,-252,,,6,
2026/01/07,TX,202601/202602    ,124,129,118,118,-,-,84,-,-,116,121,129,25,,,541,
2026/01/07,TX,202601/202602    ,-,-,-,-,-,-,0,-,-,125,128,110,25,,絃,427,
2026/01/07,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,176,179,147,80,,,29,
2026/01/07,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,166,187,147,80,,絃,59,
2026/01/07,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,279,283,230,59,,,17,
2026/01/07,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,255,265,230,59,,絃,17,
2026/01/07,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,76,85,-29,-89,,,4,
2026/01/07,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,46,69,-29,-89,,絃,12,
2026/01/07,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,122,148,90,-68,,絃,1,
2026/01/07,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,-,60,-,-,,,8,
2026/01/07,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,-,47,-,-,,絃,1,
2026/01/07,TX,202602/202612    ,1,1,1,1,-,-,1,-,-,-1,18,1,1,,絃,0,
2026/01/07,TX,202606/202609    ,-,-,-,-,-,-,0,-,-,-249,-197,-210,-252,,絃,1,
