ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/04/01,TX,202604  ,33049,33411,32906,33402,1448,4.53%,65125,33389,74778,33379,33403,35968,31227,,,,
2026/04/01,TX,202604  ,31943,33200,31740,33084,1130,3.54%,86828,-,-,33078,33085,35968,31227,,絃,,
2026/04/01,TX,202605  ,33200,33535,33050,33528,1423,4.43%,636,33513,1469,33505,33532,35962,31357,,,,
2026/04/01,TX,202605  ,32067,33304,31886,33203,1098,3.42%,641,-,-,33203,33210,35962,31357,,絃,,
2026/04/01,TX,202606  ,33273,33550,33102,33535,1423,4.43%,61,33530,1106,33520,33547,36100,20819,,,,
2026/04/01,TX,202606  ,32122,33300,31993,33200,1088,3.39%,187,-,-,33207,33229,36100,20819,,絃,,
2026/04/01,TX,202609  ,33230,33450,32972,33450,1419,4.43%,9,33450,418,33428,33456,35995,24962,,,,
2026/04/01,TX,202609  ,32053,33148,32053,33148,1117,3.49%,28,-,-,33107,33144,35995,24962,,絃,,
2026/04/01,TX,202612  ,33298,33547,33102,33530,1401,4.36%,61,33530,224,33528,33558,36263,27382,,,,
2026/04/01,TX,202612  ,32096,33086,32096,33058,929,2.89%,24,-,-,33208,33245,36263,27382,,絃,,
2026/04/01,TX,202703  ,33652,33800,33652,33800,1388,4.28%,2,33800,65,33779,33923,34275,32400,,,,
2026/04/01,TX,202703  ,-,-,-,-,-,-,0,-,-,33481,33625,34275,32400,,絃,,
2026/04/02,TX,202604  ,33676,33687,32486,32487,-902,-2.70%,85468,32505,71237,32487,32503,35968,31227,,,,
2026/04/02,TX,202604  ,33601,33880,33317,33567,178,0.53%,70566,-,-,33561,33569,35968,31227,,絃,,
2026/04/02,TX,202605  ,33822,33822,32632,32632,-881,-2.63%,801,32634,1589,32612,32630,35962,31357,,,,
2026/04/02,TX,202605  ,33733,34006,33460,33699,186,0.56%,593,-,-,33690,33700,35962,31357,,絃,,
2026/04/02,TX,202606  ,33787,33800,32675,32675,-855,-2.55%,130,32646,1071,32636,32656,36100,20819,,,,
2026/04/02,TX,202606  ,33680,33900,33484,33705,175,0.52%,46,-,-,33706,33715,36100,20819,,絃,,
2026/04/02,TX,202609  ,33528,33528,32560,32560,-890,-2.66%,26,32560,425,32540,32559,35995,24962,,,,
2026/04/02,TX,202609  ,33528,33899,33458,33899,449,1.34%,6,-,-,33612,33628,35995,24962,,絃,,
2026/04/02,TX,202612  ,33750,33750,32800,32800,-730,-2.18%,13,32644,230,32634,32655,36263,27382,,,,
2026/04/02,TX,202612  ,33723,34000,33500,33705,175,0.52%,71,-,-,33707,33726,36263,27382,,絃,,
2026/04/02,TX,202703  ,33500,33500,33088,33088,-712,-2.11%,6,32920,71,32867,32974,34275,32400,,,,
2026/04/02,TX,202703  ,-,-,-,-,-,-,0,-,-,33939,34045,34275,32400,,絃,,
2026/04/07,TX,202604  ,33192,33377,32955,33159,654,2.01%,51955,33177,71552,33158,33169,35968,31227,,,,
2026/04/07,TX,202604  ,32576,33131,32192,32877,372,1.14%,69057,-,-,32866,32877,35968,31227,,絃,,
2026/04/07,TX,202605  ,33272,33497,33085,33287,653,2.00%,647,33302,1655,33282,33296,35962,31357,,,,
2026/04/07,TX,202605  ,32700,33233,32320,32975,341,1.04%,597,-,-,32989,33004,35962,31357,,絃,,
2026/04/07,TX,202606  ,33326,33507,33165,33323,677,2.07%,35,33323,1112,33303,33318,36100,20819,,,,
2026/04/07,TX,202606  ,32705,33155,32350,33008,362,1.11%,90,-,-,33008,33025,36100,20819,,絃,,
2026/04/07,TX,202609  ,33250,33421,33060,33223,663,2.04%,22,33223,428,33216,33229,35995,24962,,,,
2026/04/07,TX,202609  ,32537,33178,32250,32910,350,1.07%,32,-,-,32911,32927,35995,24962,,絃,,
2026/04/07,TX,202612  ,33416,33478,33244,33333,689,2.11%,16,33333,228,33310,33326,36263,27382,,,,
2026/04/07,TX,202612  ,33100,33100,33011,33011,367,1.12%,2,-,-,33008,33026,36263,27382,,絃,,
2026/04/07,TX,202703  ,33575,33575,33575,33575,655,1.99%,1,33588,62,33538,33639,34275,32400,,,,
2026/04/07,TX,202703  ,33004,33104,33004,33104,184,0.56%,10,-,-,33246,33347,34275,32400,,絃,,
2026/04/08,TX,202604  ,34651,35060,34473,34996,1819,5.48%,74154,35016,74508,34995,34996,35968,31227,,,,
2026/04/08,TX,202604  ,33231,33596,32824,33495,318,0.96%,79836,-,-,33486,33495,35968,31227,,絃,,
2026/04/08,TX,202605  ,34700,35168,34601,35122,1820,5.47%,1526,35131,2089,35113,35116,35962,31357,,,,
2026/04/08,TX,202605  ,33356,33705,32973,33627,325,0.98%,1468,-,-,33615,33630,35962,31357,,絃,,
2026/04/08,TX,202606  ,34703,35174,34695,35123,1800,5.40%,109,35130,1146,35128,35133,36100,20819,,,,
2026/04/08,TX,202606  ,33360,33727,33011,33541,218,0.65%,57,-,-,33639,33654,36100,20819,,絃,,
2026/04/08,TX,202609  ,34666,35100,34568,35030,1807,5.44%,40,35041,439,35039,35044,35995,24962,,,,
2026/04/08,TX,202609  ,33587,33623,32888,33430,207,0.62%,18,-,-,33542,33560,35995,24962,,絃,,
2026/04/08,TX,202612  ,34792,35182,34677,35170,1837,5.51%,44,35143,220,35139,35147,36263,27382,,,,
2026/04/08,TX,202612  ,33380,33670,33000,33666,333,1.00%,20,-,-,33640,33656,36263,27382,,絃,,
2026/04/08,TX,202703  ,34792,35426,34792,35426,1838,5.47%,16,35375,62,35340,35411,35426,32400,,,,
2026/04/08,TX,202703  ,33954,33954,33505,33505,-83,-0.25%,11,-,-,33876,33975,34275,32400,,絃,,
2026/04/09,TX,202604  ,35032,35100,34745,34932,-84,-0.24%,53298,34924,72691,34930,34936,35968,31227,,,,
2026/04/09,TX,202604  ,35000,35348,34935,35208,192,0.55%,57379,-,-,35207,35217,35968,31227,,絃,,
2026/04/09,TX,202605  ,35220,35220,34888,35055,-76,-0.22%,1718,35059,2672,35059,35068,35962,31357,,,,
2026/04/09,TX,202605  ,35123,35454,35063,35305,174,0.50%,998,-,-,35321,35337,35962,31357,,絃,,
2026/04/09,TX,202606  ,35200,35200,34901,35109,-21,-0.06%,37,35082,1139,35077,35087,36100,20819,,,,
2026/04/09,TX,202606  ,35213,35411,35095,35337,207,0.59%,26,-,-,35342,35360,36100,20819,,絃,,
2026/04/09,TX,202609  ,35041,35041,34857,35000,-41,-0.12%,7,34994,439,34990,34999,35995,24962,,,,
2026/04/09,TX,202609  ,35219,35336,35025,35200,159,0.45%,24,-,-,35257,35273,35995,24962,,絃,,
2026/04/09,TX,202612  ,35213,35213,34950,34999,-144,-0.41%,19,35090,236,35086,35095,36263,27382,,,,
2026/04/09,TX,202612  ,35309,35450,35135,35320,177,0.50%,49,-,-,35354,35373,36263,27382,,絃,,
2026/04/09,TX,202703  ,35250,35250,35250,35250,-125,-0.35%,1,35348,63,35320,35376,35426,32400,,,,
2026/04/09,TX,202703  ,35375,35375,35375,35375,0,0.00%,1,-,-,35557,35642,35426,32400,,絃,,
2026/04/10,TX,202604  ,35249,35580,35215,35567,643,1.84%,55415,35569,71146,35567,35571,35968,31227,,,,
2026/04/10,TX,202604  ,34922,35289,34765,35222,298,0.85%,47030,-,-,35216,35226,35968,31227,,絃,,
2026/04/10,TX,202605  ,35359,35711,35347,35697,638,1.82%,3512,35703,4616,35697,35704,35962,31357,,,,
2026/04/10,TX,202605  ,35063,35408,34899,35345,286,0.82%,1038,-,-,35341,35356,35962,31357,,絃,,
2026/04/10,TX,202606  ,35470,35728,35470,35710,628,1.79%,89,35727,1109,35723,35731,36100,20819,,,,
2026/04/10,TX,202606  ,35051,35345,34930,35345,263,0.75%,53,-,-,35358,35376,36100,20819,,絃,,
2026/04/10,TX,202609  ,35378,35604,35376,35600,606,1.73%,15,35630,438,35626,35634,35995,24962,,,,
2026/04/10,TX,202609  ,34850,35250,34850,35247,253,0.72%,37,-,-,35265,35282,35995,24962,,絃,,
2026/04/10,TX,202612  ,35486,35733,35486,35721,631,1.80%,20,35721,235,35723,35733,36263,27382,,,,
2026/04/10,TX,202612  ,34988,35350,34926,35350,260,0.74%,30,-,-,35364,35381,36263,27382,,絃,,
2026/04/10,TX,202703  ,35950,35950,35950,35950,602,1.70%,1,35984,62,35958,36011,35950,32400,,,,
2026/04/10,TX,202703  ,35519,35519,35500,35511,163,0.46%,3,-,-,35606,35666,35519,32400,,絃,,
2026/04/13,TX,202604  ,35280,35652,35225,35457,-112,-0.31%,83511,35460,38421,35455,35458,35968,31227,,,,
2026/04/13,TX,202604  ,35521,35748,35475,35589,20,0.06%,38073,-,-,35588,35594,35968,31227,,絃,,
2026/04/13,TX,202605  ,35442,35852,35377,35652,-51,-0.14%,45473,35650,39146,35642,35652,35962,31357,,,,
2026/04/13,TX,202605  ,35656,35884,35605,35730,27,0.08%,1505,-,-,35730,35740,35962,31357,,絃,,
2026/04/13,TX,202606  ,35471,35870,35467,35681,-46,-0.13%,449,35693,1447,35683,35701,36100,20819,,,,
2026/04/13,TX,202606  ,35715,35862,35650,35772,45,0.13%,43,-,-,35762,35783,36100,20819,,絃,,
2026/04/13,TX,202609  ,35346,35737,35346,35598,-32,-0.09%,53,35598,457,35599,35624,35995,24962,,,,
2026/04/13,TX,202609  ,35580,35791,35568,35733,103,0.29%,27,-,-,35653,35689,35995,24962,,絃,,
2026/04/13,TX,202612  ,35408,35750,35408,35702,-19,-0.05%,10,35702,241,35683,35721,36263,27382,,,,
2026/04/13,TX,202612  ,35689,35880,35675,35750,29,0.08%,16,-,-,35747,35794,36263,27382,,絃,,
2026/04/13,TX,202703  ,-,-,-,-,-,-,0,35937,62,35897,35978,35950,32400,,,,
2026/04/13,TX,202703  ,-,-,-,-,-,-,0,-,-,35993,36074,35950,32400,,絃,,
2026/04/14,TX,202604  ,35500,36037,35455,36027,567,1.60%,33269,-,-,36019,36027,36037,31227,,絃,,
2026/04/14,TX,202605  ,35652,36228,35650,36215,565,1.58%,4367,-,-,36207,36223,36228,31357,,絃,,
2026/04/14,TX,202606  ,35738,36248,35700,36248,555,1.55%,83,-,-,36247,36262,36248,20819,,絃,,
2026/04/14,TX,202609  ,35686,36168,35675,36168,570,1.60%,24,-,-,36165,36197,36168,24962,,絃,,
2026/04/14,TX,202612  ,35943,36182,35938,36182,480,1.34%,15,-,-,36262,36317,36263,27382,,絃,,
2026/04/14,TX,202703  ,36205,36450,36205,36450,513,1.43%,2,-,-,36463,36500,36450,32400,,絃,,
2026/04/01,TX,202604/202605    ,127,129,123,126,-,-,51,-,-,126,129,137,45,,,439,
2026/04/01,TX,202604/202605    ,132,135,123,123,-,-,71,-,-,122,125,137,45,,絃,470,
2026/04/01,TX,202604/202606    ,140,140,139,139,-,-,6,-,-,141,144,182,20,,,48,
2026/04/01,TX,202604/202606    ,155,160,149,149,-,-,116,-,-,135,144,182,20,,絃,68,
2026/04/01,TX,202604/202609    ,-,-,-,-,-,-,0,-,-,49,53,59,-132,,,8,
2026/04/01,TX,202604/202609    ,58,59,54,59,-,-,7,-,-,37,59,59,-132,,絃,18,
2026/04/01,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,149,155,214,45,,,61,
2026/04/01,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,138,160,214,45,,絃,22,
2026/04/01,TX,202604/202703    ,-,-,-,-,-,-,0,-,-,400,520,352,310,,,1,
2026/04/01,TX,202605/202703    ,-,-,-,-,-,-,0,-,-,264,399,-,-,,,1,
2026/04/01,TX,202606/202609    ,-,-,-,-,-,-,0,-,-,-99,-70,-103,-252,,絃,1,
2026/04/01,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,81,-,266,104,,絃,2,
2026/04/02,TX,202604/202605    ,129,129,126,126,-,-,4,-,-,125,127,137,45,,,718,
2026/04/02,TX,202604/202605    ,-,-,-,-,-,-,0,-,-,129,133,137,45,,絃,419,
2026/04/02,TX,202604/202606    ,150,150,150,150,-,-,1,-,-,149,153,182,20,,,123,
2026/04/02,TX,202604/202606    ,-,-,-,-,-,-,0,-,-,145,154,182,20,,絃,32,
2026/04/02,TX,202604/202609    ,-,-,-,-,-,-,0,-,-,53,56,59,-132,,,24,
2026/04/02,TX,202604/202609    ,-,-,-,-,-,-,0,-,-,51,59,59,-132,,絃,6,
2026/04/02,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,147,152,214,45,,,12,
2026/04/02,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,146,157,214,45,,絃,71,
2026/04/02,TX,202606/202609    ,-86,-86,-99,-99,-,-,2,-,-,-117,-87,-86,-252,,,0,
2026/04/02,TX,202606/202703    ,-,-,-,-,-,-,0,-,-,250,320,-,-,,,4,
2026/04/07,TX,202604/202605    ,123,126,122,125,-,-,95,-,-,124,127,137,45,,,488,
2026/04/07,TX,202604/202605    ,124,128,124,126,-,-,3,-,-,123,127,137,45,,絃,467,
2026/04/07,TX,202604/202606    ,-,-,-,-,-,-,0,-,-,145,149,182,20,,,34,
2026/04/07,TX,202604/202606    ,-,-,-,-,-,-,0,-,-,142,148,182,20,,絃,87,
2026/04/07,TX,202604/202609    ,-,-,-,-,-,-,0,-,-,58,60,59,-132,,,20,
2026/04/07,TX,202604/202609    ,-,-,-,-,-,-,0,-,-,45,50,59,-132,,絃,32,
2026/04/07,TX,202604/202612    ,151,155,151,155,-,-,5,-,-,152,157,214,45,,,11,
2026/04/07,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,142,149,214,45,,絃,2,
2026/04/07,TX,202604/202703    ,-,-,-,-,-,-,0,-,-,380,470,352,310,,絃,1,
2026/04/07,TX,202605/202703    ,-,-,-,-,-,-,0,-,-,262,341,-,-,,絃,1,
2026/04/07,TX,202606/202703    ,-,-,-,-,-,-,0,-,-,250,310,-,-,,,1,
2026/04/07,TX,202606/202703    ,-,-,-,-,-,-,0,-,-,-,320,-,-,,絃,3,
2026/04/08,TX,202604/202605    ,129,129,111,116,-,-,218,-,-,117,120,137,45,,,920,
2026/04/08,TX,202604/202605    ,124,133,124,133,-,-,9,-,-,129,135,137,45,,絃,1034,
2026/04/08,TX,202604/202606    ,149,149,132,134,-,-,22,-,-,133,137,182,20,,,72,
2026/04/08,TX,202604/202606    ,-,-,-,-,-,-,0,-,-,153,159,182,20,,絃,48,
2026/04/08,TX,202604/202609    ,44,44,44,44,-,-,1,-,-,44,48,59,-132,,,39,
2026/04/08,TX,202604/202609    ,-,-,-,-,-,-,0,-,-,56,65,59,-132,,絃,18,
2026/04/08,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,144,151,214,45,,,44,
2026/04/08,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,154,161,214,45,,絃,19,
2026/04/08,TX,202604/202703    ,470,470,405,405,-,-,2,-,-,340,415,470,310,,,7,
2026/04/08,TX,202605/202703    ,-,-,-,-,-,-,0,-,-,227,-,-,-,,,2,
2026/04/08,TX,202605/202703    ,-,-,-,-,-,-,0,-,-,263,342,-,-,,絃,2,
2026/04/08,TX,202606/202703    ,330,330,330,330,-,-,1,-,-,0,300,330,330,,,1,
2026/04/08,TX,202606/202703    ,-,-,-,-,-,-,0,-,-,250,320,-,-,,絃,5,
2026/04/09,TX,202604/202605    ,110,133,108,129,-,-,727,-,-,129,132,137,45,,,723,
2026/04/09,TX,202604/202605    ,116,116,113,113,-,-,4,-,-,114,120,137,45,,絃,648,
2026/04/09,TX,202604/202606    ,-,-,-,-,-,-,0,-,-,147,151,182,20,,,34,
2026/04/09,TX,202604/202606    ,-,-,-,-,-,-,0,-,-,135,143,182,20,,絃,26,
2026/04/09,TX,202604/202609    ,-,-,-,-,-,-,0,-,-,60,63,59,-132,,,7,
2026/04/09,TX,202604/202609    ,50,50,50,50,-,-,2,-,-,50,56,59,-132,,絃,21,
2026/04/09,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,156,159,214,45,,,18,
2026/04/09,TX,202604/202612    ,-,-,-,-,-,-,0,-,-,147,156,214,45,,絃,48,
2026/04/09,TX,202606/202703    ,-,-,-,-,-,-,0,-,-,260,295,330,330,,,1,
2026/04/09,TX,202606/202703    ,-,-,-,-,-,-,0,-,-,220,280,330,330,,絃,1,
2026/04/10,TX,202604/202605    ,125,136,123,133,-,-,1324,-,-,130,133,137,45,,,1266,
